Logging Type,Num Attackers,FP Rate,Total Attack Packet,Successful Attack Packet,Average Path Length
PERIODIC,100,0.01,1000000,3104,4.23
PERIODIC,100,0.01,2000000,8547,4.86
PERIODIC,100,0.01,2000000,9547,3.5
PERIODIC,100,0.01,2000000,7986,3.18
PERIODIC,100,0.01,2000000,5204,3.87
PERIODIC,100,0.01,2000000,2077,3.94
PERIODIC,100,0.01,2000000,11621,3.8
PERIODIC,100,0.01,2000000,8009,3.9
PERIODIC,100,0.01,2000000,5238,3.85
PERIODIC,100,0.01,2000000,5917,4.16
PERIODIC,100,0.01,2000000,17442,3.21
PERIODIC,100,0.01,3000000,21584,3.88
PERIODIC,100,0.01,3000000,20661,3.44
PERIODIC,100,0.01,3000000,21714,3.84
PERIODIC,100,0.01,3000000,28942,3.8
PERIODIC,100,0.01,3000000,4893,5.63
PERIODIC,100,0.01,3000000,12895,4.21
PERIODIC,100,0.01,3000000,11398,3.89
PERIODIC,100,0.01,3000000,18207,4.17
PERIODIC,100,0.01,3000000,8772,3.83
PERIODIC,100,0.01,3000000,20519,3.73
PERIODIC,500,0.01,1000000,4884,3.406
PERIODIC,500,0.01,1000000,2001,4.168
PERIODIC,500,0.01,1000000,3348,4.178
PERIODIC,500,0.01,1000000,6110,3.824
PERIODIC,500,0.01,1000000,1122,3.89
PERIODIC,500,0.01,1000000,4100,4.33
PERIODIC,500,0.01,1000000,2101,3.722
PERIODIC,500,0.01,1000000,3748,3.85
PERIODIC,500,0.01,1000000,1660,4.176
PERIODIC,500,0.01,1000000,5917,3.812
PERIODIC,500,0.01,2000000,11065,5.432
PERIODIC,500,0.01,2000000,14667,3.816
PERIODIC,500,0.01,2000000,7882,3.778
PERIODIC,500,0.01,2000000,13597,3.856
PERIODIC,500,0.01,2000000,8133,4.162
PERIODIC,500,0.01,2000000,13859,4.254
PERIODIC,500,0.01,2000000,9129,3.936
PERIODIC,500,0.01,2000000,11927,5.044
PERIODIC,500,0.01,2000000,7388,3.782
PERIODIC,500,0.01,2000000,13148,3.19
PERIODIC,500,0.01,3000000,8489,3.812
PERIODIC,500,0.01,3000000,15033,3.202
PERIODIC,500,0.01,3000000,6014,3.822
PERIODIC,500,0.01,3000000,14210,3.446
PERIODIC,500,0.01,3000000,6247,3.208
PERIODIC,500,0.01,3000000,9226,4.18
PERIODIC,500,0.01,3000000,17345,3.788
PERIODIC,500,0.01,3000000,5828,3.78
PERIODIC,500,0.01,3000000,10934,3.77
PERIODIC,500,0.01,3000000,6050,3.764
PERIODIC,1000,0.01,1000000,7747,3.42
PERIODIC,1000,0.01,1000000,8212,4.141
PERIODIC,1000,0.01,1000000,3694,3.79
PERIODIC,1000,0.01,1000000,4352,3.804
PERIODIC,1000,0.01,1000000,6866,3.179
PERIODIC,1000,0.01,1000000,5226,3.831
PERIODIC,1000,0.01,1000000,4502,3.235
PERIODIC,1000,0.01,1000000,1951,3.448
PERIODIC,1000,0.01,1000000,4532,3.296
PERIODIC,1000,0.01,1000000,5298,3.771
PERIODIC,1000,0.01,2000000,2301,3.632
PERIODIC,1000,0.01,2000000,5901,3.785
PERIODIC,1000,0.01,2000000,21502,4.2
PERIODIC,1000,0.01,2000000,12516,3.441
PERIODIC,1000,0.01,2000000,13891,4.1
PERIODIC,1000,0.01,2000000,8475,3.79
PERIODIC,1000,0.01,2000000,12483,3.809
PERIODIC,1000,0.01,2000000,16761,3.974
PERIODIC,1000,0.01,2000000,5659,3.822
PERIODIC,1000,0.01,2000000,11759,3.266
PERIODIC,1000,0.01,3000000,4245,3.965
PERIODIC,1000,0.01,3000000,23949,5.393
PERIODIC,1000,0.01,3000000,3245,3.803
PERIODIC,1000,0.01,3000000,8988,4.012
PERIODIC,1000,0.01,3000000,19596,3.804
PERIODIC,1000,0.01,3000000,14282,4.184
PERIODIC,1000,0.01,3000000,5663,3.78
PERIODIC,1000,0.01,3000000,3108,4.193
PERIODIC,1000,0.01,3000000,3327,3.576
PERIODIC,1000,0.01,3000000,6193,3.794
PERIODIC,1500,0.01,1000000,2869,3.808666667
PERIODIC,1500,0.01,1000000,2043,5.054666667
PERIODIC,1500,0.01,1000000,5016,3.812666667
PERIODIC,1500,0.01,1000000,7016,3.853333333
PERIODIC,1500,0.01,1000000,7170,3.810666667
PERIODIC,1500,0.01,1000000,3841,4.039333333
PERIODIC,1500,0.01,1000000,5874,3.378666667
PERIODIC,1500,0.01,1000000,7459,3.811333333
PERIODIC,1500,0.01,1000000,5167,3.818
PERIODIC,1500,0.01,1000000,7101,3.165333333
PERIODIC,1500,0.01,2000000,7538,3.783333333
PERIODIC,1500,0.01,2000000,14071,3.798
PERIODIC,1500,0.01,2000000,9450,4.44
PERIODIC,1500,0.01,2000000,16817,3.787333333
PERIODIC,1500,0.01,2000000,10596,3.804666667
PERIODIC,1500,0.01,2000000,14501,3.439333333
PERIODIC,1500,0.01,2000000,2127,4.201333333
PERIODIC,1500,0.01,2000000,12093,3.788666667
PERIODIC,1500,0.01,2000000,4220,3.098666667
PERIODIC,1500,0.01,2000000,11679,4.46
PERIODIC,1500,0.01,3000000,6305,3.878666667
PERIODIC,1500,0.01,3000000,11122,3.79
PERIODIC,1500,0.01,3000000,19740,3.783333333
PERIODIC,1500,0.01,3000000,20784,3.802666667
PERIODIC,1500,0.01,3000000,15971,3.690666667
PERIODIC,1500,0.01,3000000,30252,3.790666667
PERIODIC,1500,0.01,3000000,21302,3.784
PERIODIC,1500,0.01,3000000,3538,3.821333333
PERIODIC,1500,0.01,3000000,26063,3.15
PERIODIC,1500,0.01,3000000,24965,3.804
PERIODIC,2000,0.01,1000000,7196,3.259
PERIODIC,2000,0.01,1000000,6478,4.023
PERIODIC,2000,0.01,1000000,3003,3.7985
PERIODIC,2000,0.01,1000000,2740,3.792
PERIODIC,2000,0.01,1000000,5634,4.102
PERIODIC,2000,0.01,1000000,7194,3.8015
PERIODIC,2000,0.01,1000000,1093,4.2735
PERIODIC,2000,0.01,1000000,4357,3.584
PERIODIC,2000,0.01,1000000,6456,3.2015
PERIODIC,2000,0.01,1000000,3330,4.1335
PERIODIC,2000,0.01,2000000,9944,3.7105
PERIODIC,2000,0.01,2000000,8499,4.2205
PERIODIC,2000,0.01,2000000,15245,3.802
PERIODIC,2000,0.01,2000000,8651,3.8535
PERIODIC,2000,0.01,2000000,7908,3.8245
PERIODIC,2000,0.01,2000000,9089,4.2095
PERIODIC,2000,0.01,2000000,17208,3.789
PERIODIC,2000,0.01,2000000,5751,3.972
PERIODIC,2000,0.01,2000000,11377,3.7845
PERIODIC,2000,0.01,2000000,10099,3.801
PERIODIC,2000,0.01,3000000,12662,3.7985
PERIODIC,2000,0.01,3000000,26946,4.252
PERIODIC,2000,0.01,3000000,14089,4.012
PERIODIC,2000,0.01,3000000,11603,4.2215
PERIODIC,2000,0.01,3000000,8490,3.788
PERIODIC,2000,0.01,3000000,19156,4.1995
PERIODIC,2000,0.01,3000000,25983,4.717
PERIODIC,2000,0.01,3000000,6298,4.058
PERIODIC,2000,0.01,3000000,9299,3.65
PERIODIC,2000,0.01,3000000,14684,3.7845
PERIODIC,100,0.05,1000000,11835,3.27
PERIODIC,100,0.05,1000000,1331,3.83
PERIODIC,100,0.05,1000000,3232,3.89
PERIODIC,100,0.05,1000000,7414,4.3
PERIODIC,100,0.05,1000000,6969,3.65
PERIODIC,100,0.05,1000000,8309,4.78
PERIODIC,100,0.05,1000000,5795,4.12
PERIODIC,100,0.05,1000000,4820,3.12
PERIODIC,100,0.05,1000000,8528,3.81
PERIODIC,100,0.05,1000000,1496,3.83
PERIODIC,100,0.05,2000000,3179,3.88
PERIODIC,100,0.05,2000000,11741,3.81
PERIODIC,100,0.05,2000000,4611,3.81
PERIODIC,100,0.05,2000000,18396,3.93
PERIODIC,100,0.05,2000000,4856,3.86
PERIODIC,100,0.05,2000000,17157,3.98
PERIODIC,100,0.05,2000000,2188,5.33
PERIODIC,100,0.05,2000000,19526,3.79
PERIODIC,100,0.05,2000000,14269,4.1
PERIODIC,100,0.05,2000000,8201,4.07
PERIODIC,100,0.05,3000000,21679,3.72
PERIODIC,100,0.05,3000000,22042,3.15
PERIODIC,100,0.05,3000000,18412,3.76
PERIODIC,100,0.05,3000000,9809,3.92
PERIODIC,100,0.05,3000000,12228,3.8
PERIODIC,100,0.05,3000000,21277,3.78
PERIODIC,100,0.05,3000000,23964,3.88
PERIODIC,100,0.05,3000000,28313,3.86
PERIODIC,100,0.05,3000000,3937,4
PERIODIC,100,0.05,3000000,9045,3.92
PERIODIC,500,0.05,1000000,4701,4.14
PERIODIC,500,0.05,1000000,2377,3.796
PERIODIC,500,0.05,1000000,10292,4.164
PERIODIC,500,0.05,1000000,8558,3.39
PERIODIC,500,0.05,1000000,9531,3.778
PERIODIC,500,0.05,1000000,4107,3.784
PERIODIC,500,0.05,1000000,3154,3.77
PERIODIC,500,0.05,1000000,10037,5.386
PERIODIC,500,0.05,1000000,3395,3.79
PERIODIC,500,0.05,1000000,5268,3.784
PERIODIC,500,0.05,2000000,4354,3.802
PERIODIC,500,0.05,2000000,9162,4.754
PERIODIC,500,0.05,2000000,16140,3.27
PERIODIC,500,0.05,2000000,11168,3.816
PERIODIC,500,0.05,2000000,9853,3.79
PERIODIC,500,0.05,2000000,15649,3.798
PERIODIC,500,0.05,2000000,13869,3.414
PERIODIC,500,0.05,2000000,6705,4.172
PERIODIC,500,0.05,2000000,9210,4.19
PERIODIC,500,0.05,2000000,7766,4.89
PERIODIC,500,0.05,3000000,6753,3.192
PERIODIC,500,0.05,3000000,19637,4.176
PERIODIC,500,0.05,3000000,13319,3.348
PERIODIC,500,0.05,3000000,22727,4.178
PERIODIC,500,0.05,3000000,30520,3.932
PERIODIC,500,0.05,3000000,20186,5.016
PERIODIC,500,0.05,3000000,11677,4.356
PERIODIC,500,0.05,3000000,23976,4.292
PERIODIC,500,0.05,3000000,17826,3.786
PERIODIC,500,0.05,3000000,9173,3.91
PERIODIC,1000,0.05,1000000,7248,3.795
PERIODIC,1000,0.05,1000000,8465,4.012
PERIODIC,1000,0.05,1000000,1567,3.788
PERIODIC,1000,0.05,1000000,2849,3.814
PERIODIC,1000,0.05,1000000,4582,3.784
PERIODIC,1000,0.05,1000000,7991,4.015
PERIODIC,1000,0.05,1000000,1450,4.497
PERIODIC,1000,0.05,1000000,6469,4.205
PERIODIC,1000,0.05,1000000,3242,3.473
PERIODIC,1000,0.05,1000000,6816,3.797
PERIODIC,1000,0.05,2000000,5720,3.759
PERIODIC,1000,0.05,2000000,4662,4.131
PERIODIC,1000,0.05,2000000,14683,3.775
PERIODIC,1000,0.05,2000000,8086,4.187
PERIODIC,1000,0.05,2000000,10958,4.182
PERIODIC,1000,0.05,2000000,7922,4.184
PERIODIC,1000,0.05,2000000,5387,3.493
PERIODIC,1000,0.05,2000000,8093,4.091
PERIODIC,1000,0.05,2000000,9098,3.804
PERIODIC,1000,0.05,2000000,7701,3.242
PERIODIC,1000,0.05,3000000,26617,3.815
PERIODIC,1000,0.05,3000000,8646,4.266
PERIODIC,1000,0.05,3000000,17062,3.794
PERIODIC,1000,0.05,3000000,5431,3.459
PERIODIC,1000,0.05,3000000,19708,3.786
PERIODIC,1000,0.05,3000000,18628,3.819
PERIODIC,1000,0.05,3000000,21172,3.812
PERIODIC,1000,0.05,3000000,14179,4.78
PERIODIC,1000,0.05,3000000,10362,4.634
