Logging Type,Num Attackers,FP Rate,Total Attack Packet,Successful Attack Packet,Average Path Length
EVEN,1000,0.001,2000000,1843799,3.946
EVEN,1000,0.01,2000000,1838665,3.808
COMPREHENSIVE,1000,0.001,2000000,1797442,3.776
COMPREHENSIVE,1000,1.0E-4,2000000,1809665,3.819
EVEN,1000,0.05,2000000,1860532,4.154
ODD,1000,0.01,2000000,1674547,3.656
COMPREHENSIVE,1000,0.05,2000000,1821304,3.791
COMPREHENSIVE,1000,0.01,2000000,1842594,4.218
EVEN,1000,0.001,2000000,1837792,4.205
EVEN,1000,0.05,2000000,1815209,3.796
EVEN,1000,0.01,2000000,1806700,4.193
COMPREHENSIVE,1000,0.001,2000000,1855911,4.205
COMPREHENSIVE,1000,1.0E-4,2000000,1754239,5.007
ODD,1000,0.01,2000000,1840152,4.186
COMPREHENSIVE,1000,0.05,2000000,1816205,3.807
COMPREHENSIVE,1000,0.01,2000000,1792336,3.789
EVEN,1000,0.001,2000000,1789348,3.777
EVEN,1000,0.05,2000000,1883118,3.64
EVEN,1000,0.01,2000000,1824013,3.476
COMPREHENSIVE,1000,1.0E-4,2000000,1860773,3.214
ODD,1000,0.01,2000000,1889989,3.321
COMPREHENSIVE,1000,0.001,2000000,1828644,4.143
COMPREHENSIVE,1000,0.01,2000000,1881645,3.974
COMPREHENSIVE,1000,0.05,3000000,2712504,3.826
EVEN,1000,0.05,2000000,1859481,3.928
EVEN,1000,0.001,2000000,1812563,3.778
COMPREHENSIVE,1000,1.0E-4,2000000,71292,3.643
EVEN,1000,0.01,2000000,1845751,4.186
ODD,1000,0.01,2000000,1804487,3.786
COMPREHENSIVE,1000,0.001,3000000,2774057,5.173
COMPREHENSIVE,1000,0.01,2000000,0,4.005
EVEN,1000,0.05,2000000,0,3.811
COMPREHENSIVE,1000,0.05,3000000,2810905,4.071
EVEN,1000,0.001,3000000,2718362,3.815
COMPREHENSIVE,1000,1.0E-4,3000000,2745496,4.116
EVEN,1000,0.01,2000000,1798102,3.758
ODD,1000,0.01,3000000,2860955,3.24
COMPREHENSIVE,1000,0.01,3000000,2814122,3.142
COMPREHENSIVE,1000,0.001,3000000,2777191,3.456
COMPREHENSIVE,1000,0.05,3000000,2686095,3.796
EVEN,1000,0.001,3000000,2714992,3.8
EVEN,1000,0.05,3000000,2770566,4.096
EVEN,1000,0.01,3000000,2750853,3.809
ODD,1000,0.01,3000000,2687223,3.796
COMPREHENSIVE,1000,1.0E-4,3000000,2699787,4.749
COMPREHENSIVE,1000,0.01,3000000,2724352,3.858
EVEN,1000,0.01,3000000,2757398,3.055
COMPREHENSIVE,1000,0.001,3000000,2806687,4.15
EVEN,1000,0.001,3000000,2731774,3.785
EVEN,1000,0.05,3000000,2715221,3.801
COMPREHENSIVE,1000,0.05,3000000,2758979,4.081
ODD,1000,0.01,3000000,2707047,3.795
COMPREHENSIVE,1000,0.001,3000000,2762246,3.528
COMPREHENSIVE,1000,1.0E-4,3000000,2666224,4.298
COMPREHENSIVE,1000,0.01,3000000,2709722,4.701
EVEN,1000,0.01,3000000,2784744,4.203
EVEN,1000,0.001,3000000,2671495,3.792
ODD,1000,0.01,3000000,2757635,3.4
EVEN,1000,0.05,3000000,2685532,4.012
COMPREHENSIVE,1000,0.05,3000000,2345560,5.033
